Time_s,Alive_Nodes,Total_Energy_J,Generated_Packets,Delivered_Packets,Dropped_Packets,Avg_Latency_s
2400.0,416,822.9167,105325,55244,49994,0.01676
2410.0,416,822.7113,105741,55331,50323,0.01675
2420.0,416,822.4928,106157,55418,50652,0.01673
2430.0,416,822.2872,106573,55505,50981,0.01672
2440.0,416,822.0728,106989,55592,51310,0.01671
2450.0,416,821.8556,107405,55679,51639,0.01669
2460.0,416,821.6454,107821,55766,51968,0.01668
2470.0,416,821.4294,108237,55853,52297,0.01666
2480.0,416,821.2123,108653,55940,52626,0.01665
2490.0,416,820.9967,109069,56027,52963,0.01663
2500.0,416,820.8344,109485,56106,53300,0.01662
2510.0,415,820.6806,109900,56185,53637,0.0166
2520.0,414,820.5375,110314,56263,53974,0.01659
2530.0,414,820.3848,110728,56340,54311,0.01658
2540.0,413,820.2342,111141,56417,54648,0.01656
2550.0,413,820.0891,111554,56493,54987,0.01655
2560.0,413,819.9573,111967,56567,55326,0.01653
2570.0,413,819.8189,112380,56641,55665,0.01652
2580.0,413,819.6787,112793,56715,56004,0.01651
2590.0,413,819.538,113206,56789,56343,0.01649
2600.0,413,819.3982,113619,56863,56682,0.01648
2610.0,413,819.2611,114032,56937,57021,0.01647
2620.0,413,819.1221,114445,57011,57360,0.01645
2630.0,413,818.9824,114858,57085,57699,0.01644
2640.0,413,818.8519,115271,57159,58038,0.01643
2650.0,413,818.711,115684,57233,58377,0.01641
2660.0,413,818.574,116097,57307,58716,0.0164
2670.0,413,818.4374,116510,57381,59055,0.01639
2680.0,413,818.2957,116923,57455,59394,0.01637
2690.0,413,818.1514,117336,57529,59733,0.01636
2700.0,413,818.0168,117749,57603,60072,0.01635
2710.0,413,817.8827,118162,57677,60411,0.01633
2720.0,413,817.7456,118575,57751,60750,0.01632
2730.0,413,817.6106,118988,57825,61089,0.01631
2740.0,413,817.4766,119401,57899,61428,0.01629
2750.0,413,817.3369,119814,57973,61767,0.01628
2760.0,413,817.2005,120227,58047,62106,0.01627
2770.0,412,817.067,120639,58121,62445,0.01625
2780.0,412,816.9324,121051,58194,62784,0.01624
2790.0,411,816.7996,121462,58267,63123,0.01623
2800.0,411,816.6746,121873,58339,63462,0.01622
2810.0,411,816.5425,122284,58411,63801,0.0162
2820.0,411,816.4194,122695,58483,64140,0.01619
2830.0,411,816.2986,123106,58555,64479,0.01618
2840.0,411,816.1711,123517,58627,64818,0.01617
2850.0,411,816.0433,123928,58699,65157,0.01615
2860.0,411,815.9125,124339,58771,65496,0.01614
2870.0,411,815.7764,124750,58843,65835,0.01613
2880.0,411,815.6462,125161,58915,66174,0.01612
2890.0,411,815.5141,125572,58987,66513,0.0161
2900.0,411,815.3898,125983,59059,66852,0.01609
2910.0,411,815.2633,126394,59131,67191,0.01608
2920.0,411,815.138,126805,59203,67530,0.01607
2930.0,409,815.0081,127214,59275,67869,0.01606
2940.0,409,814.8796,127623,59345,68208,0.01604
2950.0,409,814.7575,128032,59415,68547,0.01603
2960.0,409,814.6285,128441,59485,68886,0.01602
2970.0,408,814.5084,128849,59555,69225,0.01601
2980.0,408,814.3883,129257,59624,69564,0.016
2990.0,408,814.2677,129665,59693,69903,0.01599
3000.0,408,814.145,130073,59762,70242,0.01597
3010.0,408,814.0176,130481,59831,70581,0.01596
3020.0,408,813.8985,130889,59900,70920,0.01595
3030.0,408,813.7809,131297,59969,71259,0.01594
3040.0,408,813.6544,131705,60038,71598,0.01593
3050.0,408,813.5388,132113,60107,71937,0.01592
3060.0,407,813.4176,132520,60176,72276,0.0159
3070.0,406,813.3026,132926,60244,72615,0.01589
3080.0,405,813.1968,133331,60311,72954,0.01588
3090.0,405,813.0935,133736,60377,73293,0.01587
3100.0,405,812.9858,134141,60443,73632,0.01586
3110.0,405,812.8774,134546,60509,73971,0.01585
3120.0,405,812.7652,134951,60575,74310,0.01584
3130.0,405,812.656,135356,60641,74649,0.01583
3140.0,405,812.5536,135761,60707,74988,0.01582
3150.0,405,812.4466,136166,60773,75327,0.01581
3160.0,405,812.3407,136571,60839,75666,0.01579
3170.0,405,812.2363,136976,60905,76005,0.01578
3180.0,405,812.1317,137381,60971,76344,0.01577
3190.0,405,812.0211,137786,61037,76683,0.01576
3200.0,405,811.9149,138191,61103,77022,0.01575
3210.0,404,811.8106,138595,61169,77361,0.01574
3220.0,404,811.7118,138999,61234,77700,0.01573
3230.0,404,811.6075,139403,61299,78039,0.01572
3240.0,403,811.5053,139806,61364,78378,0.01571
3250.0,403,811.4022,140209,61428,78717,0.0157
3260.0,403,811.2922,140612,61492,79056,0.01569
3270.0,403,811.1917,141015,61556,79395,0.01568
3280.0,403,811.0859,141418,61620,79734,0.01567
3290.0,403,810.9856,141821,61684,80073,0.01566
3300.0,403,810.8845,142224,61748,80412,0.01565
3310.0,402,810.7862,142626,61812,80751,0.01564
3320.0,401,810.6916,143027,61875,81090,0.01563
3330.0,401,810.5901,143428,61937,81429,0.01562
3340.0,401,810.4951,143829,61999,81768,0.01561
3350.0,401,810.4007,144230,62061,82107,0.0156
3360.0,401,810.3109,144631,62123,82446,0.01559
3370.0,401,810.2229,145032,62185,82785,0.01558
3380.0,401,810.1322,145433,62247,83124,0.01557
3390.0,401,810.0338,145834,62309,83463,0.01556
3400.0,401,809.9365,146235,62371,83802,0.01555
3410.0,401,809.84,146636,62433,84141,0.01554
3420.0,401,809.7452,147037,62495,84480,0.01553
3430.0,401,809.6433,147438,62557,84819,0.01552
3440.0,401,809.5421,147839,62619,85158,0.01551
3450.0,401,809.4441,148240,62681,85497,0.0155
3460.0,401,809.3463,148641,62743,85836,0.01549
3470.0,401,809.2585,149042,62805,86175,0.01548
3480.0,401,809.1629,149443,62867,86514,0.01547
3490.0,401,809.074,149844,62929,86853,0.01546
3500.0,401,808.9844,150245,62991,87192,0.01545
3510.0,401,808.8973,150646,63053,87531,0.01544
3520.0,401,808.7997,151047,63115,87870,0.01543
3530.0,401,808.7057,151448,63177,88209,0.01542
3540.0,401,808.6063,151849,63239,88548,0.01541
3550.0,401,808.5084,152250,63301,88887,0.0154
3560.0,400,808.4171,152650,63363,89226,0.01539
3570.0,400,808.3277,153050,63424,89565,0.01538
3580.0,400,808.2415,153450,63485,89904,0.01537
3590.0,400,808.1488,153850,63546,90243,0.01536
3600.0,400,808.0564,154250,63607,90582,0.01535
3610.0,399,807.9671,154649,63668,90921,0.01534
3620.0,399,807.8895,155048,63728,91260,0.01533
3630.0,399,807.8091,155447,63788,91599,0.01533
3640.0,399,807.7318,155846,63848,91939,0.01532
3650.0,399,807.6493,156245,63907,92279,0.01531
3660.0,399,807.5713,156644,63966,92619,0.0153
3670.0,399,807.4894,157043,64025,92959,0.01529
3680.0,399,807.4066,157442,64084,93299,0.01528
3690.0,399,807.3263,157841,64143,93639,0.01527
3700.0,399,807.2451,158240,64202,93979,0.01526
3710.0,399,807.1663,158639,64261,94319,0.01525
3720.0,399,807.0862,159038,64320,94659,0.01525
3730.0,399,807.0024,159437,64379,94999,0.01524
3740.0,399,806.9209,159836,64438,95339,0.01523
3750.0,399,806.8408,160235,64497,95679,0.01522
3760.0,399,806.7516,160634,64556,96019,0.01521
3770.0,399,806.6673,161033,64615,96359,0.0152
3780.0,399,806.5844,161432,64674,96699,0.01519
3790.0,399,806.4985,161831,64733,97039,0.01518
